"DateTime","DHI","DNI","Temperature","Pressure","Relative.Humidity","Wind.Speed","GHI"
"26-07-2013 06:00",47,24,26,1000,72.48,3.8,51
"15-04-2012 08:00",267,263,30,1010,67.2,1.5,423
"17-08-2011 01:00",0,0,27,1000,87.99,2.1,0
"15-03-2013 14:00",206,745,34,1000,30.2,3.6,808
"21-08-2011 21:00",0,0,28,1000,82.54,2.8,0
"20-02-2013 05:00",0,0,25,1010,83.04,2.3,0
"25-12-2011 05:00",0,0,22,1010,84.97,3.3,0
"01-11-2013 18:00",0,0,27,1010,87.68,2.1,0
"03-06-2014 05:00",0,0,28,1000,93.88,1.7,0
"01-04-2012 17:00",83,149,30,1000,46.88,3.3,113
"18-03-2013 16:00",144,524,31,1000,37.08,3.6,372
"16-12-2013 11:00",376,282,28,1010,56.63,3,601
"28-02-2011 16:00",143,511,28,1000,54.92,3.9,358
"22-07-2011 01:00",0,0,28,1000,74.51,4.1,0
"23-05-2013 02:00",0,0,28,1000,80.27,4.2,0
"25-11-2012 18:00",0,0,26,1010,81.53,2.6,0
"22-08-2013 01:00",0,0,27,1000,85.31,3.6,0
"04-11-2011 03:00",0,0,26,1000,92.35,1.5,0
"13-06-2011 12:00",371,403,31,1000,61.05,1.9,767
"29-01-2012 13:00",242,689,30,1000,39.79,1.7,805
"15-03-2013 18:00",0,0,27,1010,61.37,3.2,0
"19-04-2013 19:00",0,0,29,1000,77.11,3.4,0
"03-07-2014 21:00",0,0,29,1000,71.11,3.5,0
"16-01-2013 23:00",0,0,24,1010,80.14,2.7,0
"10-03-2013 13:00",218,782,36,1000,27.33,2.2,930
"08-05-2012 02:00",0,0,27,1000,90.12,2.4,0
"09-12-2014 14:00",188,605,28,1010,78.94,2.9,568
"09-12-2013 02:00",0,0,23,1000,86.24,4.1,0
"09-05-2013 01:00",0,0,29,1000,85.71,3.4,0
"27-05-2013 12:00",348,54,39,1000,31.37,1.9,402
"28-03-2012 15:00",206,594,34,1000,38.27,2.5,593
"21-12-2014 03:00",0,0,23,1010,78.21,3,0
"20-07-2011 14:00",331,372,35,1000,45.35,3.4,643
"02-05-2014 08:00",187,549,31,1000,67.3,2.5,524
"21-08-2012 08:00",262,231,30,1000,75.11,1.5,398
"18-12-2011 07:00",105,179,25,1010,79.23,2.9,147
"16-03-2011 04:00",0,0,26,1000,89.76,1.7,0
"02-05-2011 02:00",0,0,28,1000,95.37,2,0
"11-11-2011 19:00",0,0,27,1010,78.5,2.4,0
